Row,Address,Postcode,Town/City,Property Type,Category,Block / Notes,Floor Area Sqm (EPC),Zoopla Low,Zoopla Central,Zoopla High,Moov Raw Central,Moov Conservative Central,Target Ratio Min,Target Ratio Max,Moov/Zoopla Central Ratio,% Diff vs Zoopla,Row Status,Base £/sqm,P25 £/sqm,Median £/sqm,Block Penalty,Small Unit Penalty,Confidence Penalty,CV Penalty,Confidence Score,Coefficient of Variation (CV),isExLocalAuthority,exLAScore,Comment
40,"6 Mill Court, Edinburgh Gate, Harlow",CM20 2JG,Harlow,Flat,Private Commuter Flat,Private commuter flat,,196000,218000,239000,ADDR_FAIL,,0.9,0.97,,,ADDR_FAIL,,,,,,,,,,,,"Address not found: Could not match house number ""6 mill court"" to any address at CM20 2JG"
41,"14 Lavinia Road, Dartford",DA1 1TS,Dartford,House,Standard House,Standard suburban house,,399000,420000,441000,DESK_REV,,0.85,0.95,0.65,-35%,DESK,4046,3778,4670,0%,0%,5.0%,3.0%,75,0.20,FALSE,0,Prior flag: No comparable sales data found for this postcode
42,"43 Blenheim Road, Dartford",DA1 3EB,Dartford,House,Standard House,Standard suburban house,,318000,334000,351000,356370,347971,0.85,0.95,1.04,4%,CHECK,4996,4945,5117,,,0.5%,,80,0.08,FALSE,,Prior flag: No comparable sales data found for this postcode
43,"46 Birdwood Avenue, Dartford",DA1 5GB,Dartford,Flat,Private Commuter Flat,Private commuter flat,,237000,249000,262000,DESK_REV,,0.9,0.97,0.84,-16%,DESK,3319,3231,3525,,,3.0%,,70,0.09,FALSE,,Prior flag: No comparable sales data found for this postcode
44,"6 Hibernia Drive, Gravesend",DA12 4HT,Gravesend,House,Standard House,Standard suburban house,,306000,322000,338000,302616,281801,0.85,0.95,0.88,-12%,PASS,3532,3444,3736,,,1.5%,,75,0.12,FALSE,1,Prior flag: No comparable sales data found for this postcode
45,"19 Artillery Row, Gravesend",DA12 1LY,Gravesend,House,Standard House,Standard suburban house,,294000,310000,325000,DESK_REV,,0.85,0.95,,,DESK,,,,,,,,,,,,Prior flag: No comparable sales data found for this postcode
46,"11 Chalk Road, Gravesend",DA12 4XE,Gravesend,House,Standard House,Standard suburban house,,357000,376000,395000,357504,319128,0.85,0.95,0.85,-15%,CHECK,3857,3687,4256,,,1.5%,,75,0.14,FALSE,1,Prior flag: No comparable sales data found for this postcode
47,"131 Vigilant Way, Gravesend",DA12 4PJ,Gravesend,Flat,Private Commuter Flat,Private commuter flat,,177000,186000,196000,DESK_REV,,0.9,0.97,,,DESK,,,,,,,,,,,,Prior flag: No comparable sales data found for this postcode
48,"38 Suffolk Road, Gravesend",DA12 2SN,Gravesend,House,Standard House,Standard suburban house,,288000,304000,319000,DESK_REV,,0.85,0.95,0.81,-19%,DESK,3640,3612,3704,,,2.5%,,65,0.04,FALSE,,Subject property floor area is missing or zero. Cannot calculate £/sqm valuation.
49,"27 Frazer Close, Romford",RM1 2DF,Romford,Flat,Private Commuter Flat,Private commuter flat,,216000,228000,239000,DESK_REV,,0.9,0.97,0.60,-40%,DESK,4543,4401,4873,5.0%,10.0%,10.0%,0%,55,0.17,FALSE,1,Subject property floor area is missing or zero. Cannot calculate £/sqm valuation.
